"V1" "V2" "V3" "V4"
"1" 0 0 0 1
"2" 0 0 0 -1
"3" 0 0 1 0
"4" 0 0 -1 0
"5" 0 1 0 0
"6" 0 -1 0 0
"7" 1 0 0 0
"8" -1 0 0 0
"9" -0.5 -0.5 -0.5 -0.5
"10" -0.5 -0.5 -0.5 0.5
"11" -0.5 -0.5 0.5 -0.5
"12" -0.5 -0.5 0.5 0.5
"13" -0.5 0.5 -0.5 -0.5
"14" -0.5 0.5 -0.5 0.5
"15" -0.5 0.5 0.5 -0.5
"16" -0.5 0.5 0.5 0.5
"17" 0.5 -0.5 -0.5 -0.5
"18" 0.5 -0.5 -0.5 0.5
"19" 0.5 -0.5 0.5 -0.5
"20" 0.5 -0.5 0.5 0.5
"21" 0.5 0.5 -0.5 -0.5
"22" 0.5 0.5 -0.5 0.5
"23" 0.5 0.5 0.5 -0.5
"24" 0.5 0.5 0.5 0.5
"25" -0.809016994374947 -0.5 -0.309016994374947 0
"26" -0.809016994374947 -0.5 0.309016994374947 0
"27" -0.809016994374947 0.5 -0.309016994374947 0
"28" -0.809016994374947 0.5 0.309016994374947 0
"29" 0.809016994374947 -0.5 -0.309016994374947 0
"30" 0.809016994374947 -0.5 0.309016994374947 0
"31" 0.809016994374947 0.5 -0.309016994374947 0
"32" 0.809016994374947 0.5 0.309016994374947 0
"33" -0.809016994374947 0 -0.5 -0.309016994374947
"34" -0.809016994374947 0 -0.5 0.309016994374947
"35" -0.809016994374947 0 0.5 -0.309016994374947
"36" -0.809016994374947 0 0.5 0.309016994374947
"37" 0.809016994374947 0 -0.5 -0.309016994374947
"38" 0.809016994374947 0 -0.5 0.309016994374947
"39" 0.809016994374947 0 0.5 -0.309016994374947
"40" 0.809016994374947 0 0.5 0.309016994374947
"41" -0.809016994374947 -0.309016994374947 0 -0.5
"42" -0.809016994374947 0.309016994374947 0 -0.5
"43" -0.809016994374947 -0.309016994374947 0 0.5
"44" -0.809016994374947 0.309016994374947 0 0.5
"45" 0.809016994374947 -0.309016994374947 0 -0.5
"46" 0.809016994374947 0.309016994374947 0 -0.5
"47" 0.809016994374947 -0.309016994374947 0 0.5
"48" 0.809016994374947 0.309016994374947 0 0.5
"49" -0.5 -0.809016994374947 0 -0.309016994374947
"50" -0.5 -0.809016994374947 0 0.309016994374947
"51" 0.5 -0.809016994374947 0 -0.309016994374947
"52" 0.5 -0.809016994374947 0 0.309016994374947
"53" -0.5 0.809016994374947 0 -0.309016994374947
"54" -0.5 0.809016994374947 0 0.309016994374947
"55" 0.5 0.809016994374947 0 -0.309016994374947
"56" 0.5 0.809016994374947 0 0.309016994374947
"57" -0.5 -0.309016994374947 -0.809016994374947 0
"58" -0.5 0.309016994374947 -0.809016994374947 0
"59" 0.5 -0.309016994374947 -0.809016994374947 0
"60" 0.5 0.309016994374947 -0.809016994374947 0
"61" -0.5 -0.309016994374947 0.809016994374947 0
"62" -0.5 0.309016994374947 0.809016994374947 0
"63" 0.5 -0.309016994374947 0.809016994374947 0
"64" 0.5 0.309016994374947 0.809016994374947 0
"65" -0.5 0 -0.309016994374947 -0.809016994374947
"66" -0.5 0 0.309016994374947 -0.809016994374947
"67" 0.5 0 -0.309016994374947 -0.809016994374947
"68" 0.5 0 0.309016994374947 -0.809016994374947
"69" -0.5 0 -0.309016994374947 0.809016994374947
"70" -0.5 0 0.309016994374947 0.809016994374947
"71" 0.5 0 -0.309016994374947 0.809016994374947
"72" 0.5 0 0.309016994374947 0.809016994374947
"73" -0.309016994374947 -0.809016994374947 -0.5 0
"74" 0.309016994374947 -0.809016994374947 -0.5 0
"75" -0.309016994374947 -0.809016994374947 0.5 0
"76" 0.309016994374947 -0.809016994374947 0.5 0
"77" -0.309016994374947 0.809016994374947 -0.5 0
"78" 0.309016994374947 0.809016994374947 -0.5 0
"79" -0.309016994374947 0.809016994374947 0.5 0
"80" 0.309016994374947 0.809016994374947 0.5 0
"81" -0.309016994374947 -0.5 0 -0.809016994374947
"82" 0.309016994374947 -0.5 0 -0.809016994374947
"83" -0.309016994374947 0.5 0 -0.809016994374947
"84" 0.309016994374947 0.5 0 -0.809016994374947
"85" -0.309016994374947 -0.5 0 0.809016994374947
"86" 0.309016994374947 -0.5 0 0.809016994374947
"87" -0.309016994374947 0.5 0 0.809016994374947
"88" 0.309016994374947 0.5 0 0.809016994374947
"89" -0.309016994374947 0 -0.809016994374947 -0.5
"90" 0.309016994374947 0 -0.809016994374947 -0.5
"91" -0.309016994374947 0 -0.809016994374947 0.5
"92" 0.309016994374947 0 -0.809016994374947 0.5
"93" -0.309016994374947 0 0.809016994374947 -0.5
"94" 0.309016994374947 0 0.809016994374947 -0.5
"95" -0.309016994374947 0 0.809016994374947 0.5
"96" 0.309016994374947 0 0.809016994374947 0.5
"97" 0 -0.809016994374947 -0.309016994374947 -0.5
"98" 0 -0.809016994374947 0.309016994374947 -0.5
"99" 0 -0.809016994374947 -0.309016994374947 0.5
"100" 0 -0.809016994374947 0.309016994374947 0.5
"101" 0 0.809016994374947 -0.309016994374947 -0.5
"102" 0 0.809016994374947 0.309016994374947 -0.5
"103" 0 0.809016994374947 -0.309016994374947 0.5
"104" 0 0.809016994374947 0.309016994374947 0.5
"105" 0 -0.5 -0.809016994374947 -0.309016994374947
"106" 0 -0.5 -0.809016994374947 0.309016994374947
"107" 0 0.5 -0.809016994374947 -0.309016994374947
"108" 0 0.5 -0.809016994374947 0.309016994374947
"109" 0 -0.5 0.809016994374947 -0.309016994374947
"110" 0 -0.5 0.809016994374947 0.309016994374947
"111" 0 0.5 0.809016994374947 -0.309016994374947
"112" 0 0.5 0.809016994374947 0.309016994374947
"113" 0 -0.309016994374947 -0.5 -0.809016994374947
"114" 0 0.309016994374947 -0.5 -0.809016994374947
"115" 0 -0.309016994374947 0.5 -0.809016994374947
"116" 0 0.309016994374947 0.5 -0.809016994374947
"117" 0 -0.309016994374947 -0.5 0.809016994374947
"118" 0 0.309016994374947 -0.5 0.809016994374947
"119" 0 -0.309016994374947 0.5 0.809016994374947
"120" 0 0.309016994374947 0.5 0.809016994374947
